SN,Total Feedback Given,Total Configured,Questions,Weightage 1,Weightage 2,Weightage 3,Weightage 4,Weightage 5,Average/ Percentage,Course Name ,Basic Course
15,1,12,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY
16,1,12,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY
17,1,12,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY
18,1,12,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,0,0,0,2.00 / 40.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY
19,1,12,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY
20,1,12,The overall quality of the teaching-learning process in your institute is very good.,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY
1,1,144,How much of the syllabus was covered in the class?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
2,1,144,How well did the teachers prepare for the classes?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
3,1,144,How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
4,1,144,The teacher’s approach to teaching can best be described as,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
5,1,144,Fairness of the internal evaluation process by the teachers.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
6,1,144,Was your performance in assignments discussed with you?,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS
7,1,144,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,3.00 / 60.00,FYBA,BACHELOR OF ARTS
8,1,144,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
9,1,144,The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS
10,1,144,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
11,1,144,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
12,1,144,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
13,1,144,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
14,1,144,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
15,1,144,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS
16,1,144,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS
17,1,144,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS
18,1,144,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS
19,1,144,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS
20,1,144,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS
1,74,119,How much of the syllabus was covered in the class?,1,2,13,27,31,4.15 / 82.97,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
2,74,119,How well did the teachers prepare for the classes?,1,1,14,52,6,3.82 / 76.49,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
3,74,119,How well were the teachers able to communicate?,2,1,7,28,36,4.28 / 85.68,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
4,74,119,The teacher’s approach to teaching can best be described as,0,5,17,35,17,3.86 / 77.30,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
5,74,119,Fairness of the internal evaluation process by the teachers.,3,3,9,21,38,4.19 / 83.78,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
6,74,119,Was your performance in assignments discussed with you?,1,3,8,27,35,4.24 / 84.86,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
7,74,119,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",2,6,22,10,34,3.92 / 78.38,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
8,74,119,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,4,12,40,17,3.92 / 78.38,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
9,74,119,The institution provides multiple opportunities to learn and grow.,1,3,8,43,19,4.03 / 80.54,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
10,74,119,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,9,32,30,4.20 / 84.05,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
11,74,119,Your mentor does a necessary follow-up with an assigned task to you.,2,4,11,30,27,4.03 / 80.54,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
12,74,119,The teachers illustrate the concepts through examples and applications.,1,4,7,27,35,4.23 / 84.59,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
13,74,119,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,6,32,33,4.27 / 85.41,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
14,74,119,Teachers are able to identify your weaknesses and help you to overcome them.,1,3,12,34,24,4.04 / 80.81,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
15,74,119,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,4,9,46,15,3.97 / 79.46,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
16,74,119,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,5,5,44,19,4.01 / 80.27,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
17,74,119,Teachers encourage you to participate in extracurricular activities.,1,2,5,34,32,4.27 / 85.41,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
18,74,119,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",1,5,10,35,23,4.00 / 80.00,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
19,74,119,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",19,5,26,18,6,2.82 / 56.49,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
20,74,119,The overall quality of the teaching-learning process in your institute is very good.,0,3,10,36,25,4.12 / 82.43,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE)
1,20,33,How much of the syllabus was covered in the class?,0,0,1,4,15,4.70 / 94.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
2,20,33,How well did the teachers prepare for the classes?,1,1,0,12,6,4.05 / 81.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
3,20,33,How well were the teachers able to communicate?,0,1,2,3,14,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
4,20,33,The teacher’s approach to teaching can best be described as,0,1,1,8,10,4.35 / 87.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
5,20,33,Fairness of the internal evaluation process by the teachers.,0,0,1,9,10,4.45 / 89.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
6,20,33,Was your performance in assignments discussed with you?,0,2,0,4,14,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
7,20,33,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,3,1,15,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
8,20,33,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,10,9,4.35 / 87.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
9,20,33,The institution provides multiple opportunities to learn and grow.,0,1,3,11,5,4.00 / 80.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
10,20,33,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,2,2,15,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
11,20,33,Your mentor does a necessary follow-up with an assigned task to you.,2,2,0,4,12,4.10 / 82.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
12,20,33,The teachers illustrate the concepts through examples and applications.,2,2,1,2,13,4.10 / 82.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
13,20,33,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,0,1,6,12,4.40 / 88.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
14,20,33,Teachers are able to identify your weaknesses and help you to overcome them.,1,1,0,6,12,4.35 / 87.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
15,20,33,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,0,2,6,11,4.30 / 86.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
16,20,33,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,1,2,3,13,4.30 / 86.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
17,20,33,Teachers encourage you to participate in extracurricular activities.,1,0,1,8,10,4.30 / 86.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
18,20,33,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",1,1,1,4,13,4.35 / 87.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
19,20,33,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,2,8,10,4.40 / 88.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
20,20,33,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,10,10,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE)
1,26,122,How much of the syllabus was covered in the class?,1,1,8,6,10,3.88 / 77.69,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
2,26,122,How well did the teachers prepare for the classes?,1,0,6,13,6,3.88 / 77.69,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
3,26,122,How well were the teachers able to communicate?,0,3,3,8,12,4.12 / 82.31,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
4,26,122,The teacher’s approach to teaching can best be described as,1,2,3,10,10,4.00 / 80.00,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
5,26,122,Fairness of the internal evaluation process by the teachers.,1,2,3,8,12,4.08 / 81.54,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
6,26,122,Was your performance in assignments discussed with you?,2,1,6,7,10,3.85 / 76.92,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
7,26,122,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",3,0,2,10,11,4.00 / 80.00,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
8,26,122,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,3,2,10,11,4.12 / 82.31,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
9,26,122,The institution provides multiple opportunities to learn and grow.,1,1,1,13,10,4.15 / 83.08,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
10,26,122,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,2,9,12,4.15 / 83.08,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
11,26,122,Your mentor does a necessary follow-up with an assigned task to you.,2,1,5,5,13,4.00 / 80.00,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
12,26,122,The teachers illustrate the concepts through examples and applications.,2,1,3,7,13,4.08 / 81.54,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
13,26,122,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,2,4,4,16,4.31 / 86.15,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
14,26,122,Teachers are able to identify your weaknesses and help you to overcome them.,0,2,3,6,15,4.31 / 86.15,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
15,26,122,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,1,4,7,14,4.31 / 86.15,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
16,26,122,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,3,6,3,13,3.92 / 78.46,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
17,26,122,Teachers encourage you to participate in extracurricular activities.,0,2,5,5,14,4.19 / 83.85,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
18,26,122,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",3,0,2,7,14,4.12 / 82.31,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
19,26,122,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3,1,5,10,7,3.65 / 73.08,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
20,26,122,The overall quality of the teaching-learning process in your institute is very good.,0,2,2,9,13,4.27 / 85.38,FYBMS ,BACHELOR OF MANAGEMENT STUDIES
1,12,175,How much of the syllabus was covered in the class?,0,1,3,4,4,3.92 / 78.33,FYBSC,BACHELOR OF SCIENCE
2,12,175,How well did the teachers prepare for the classes?,0,0,0,9,3,4.25 / 85.00,FYBSC,BACHELOR OF SCIENCE
3,12,175,How well were the teachers able to communicate?,0,0,0,4,8,4.67 / 93.33,FYBSC,BACHELOR OF SCIENCE
4,12,175,The teacher’s approach to teaching can best be described as,0,1,4,6,1,3.58 / 71.67,FYBSC,BACHELOR OF SCIENCE
5,12,175,Fairness of the internal evaluation process by the teachers.,0,2,1,1,8,4.25 / 85.00,FYBSC,BACHELOR OF SCIENCE
6,12,175,Was your performance in assignments discussed with you?,0,2,3,4,3,3.67 / 73.33,FYBSC,BACHELOR OF SCIENCE
7,12,175,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,5,1,5,3.83 / 76.67,FYBSC,BACHELOR OF SCIENCE
8,12,175,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,2,6,2,3.58 / 71.67,FYBSC,BACHELOR OF SCIENCE
9,12,175,The institution provides multiple opportunities to learn and grow.,0,1,3,5,3,3.83 / 76.67,FYBSC,BACHELOR OF SCIENCE
10,12,175,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,1,4,6,4.25 / 85.00,FYBSC,BACHELOR OF SCIENCE
11,12,175,Your mentor does a necessary follow-up with an assigned task to you.,0,5,1,3,3,3.33 / 66.67,FYBSC,BACHELOR OF SCIENCE
12,12,175,The teachers illustrate the concepts through examples and applications.,0,3,1,3,5,3.83 / 76.67,FYBSC,BACHELOR OF SCIENCE
13,12,175,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,2,4,3,3.50 / 70.00,FYBSC,BACHELOR OF SCIENCE
14,12,175,Teachers are able to identify your weaknesses and help you to overcome them.,0,2,2,6,2,3.67 / 73.33,FYBSC,BACHELOR OF SCIENCE
15,12,175,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,1,1,7,2,3.67 / 73.33,FYBSC,BACHELOR OF SCIENCE
16,12,175,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,3,7,2,3.92 / 78.33,FYBSC,BACHELOR OF SCIENCE
17,12,175,Teachers encourage you to participate in extracurricular activities.,0,0,2,6,4,4.17 / 83.33,FYBSC,BACHELOR OF SCIENCE
18,12,175,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,2,4,5,4.08 / 81.67,FYBSC,BACHELOR OF SCIENCE
19,12,175,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",6,1,1,3,1,2.33 / 46.67,FYBSC,BACHELOR OF SCIENCE
20,12,175,The overall quality of the teaching-learning process in your institute is very good.,0,1,3,4,4,3.92 / 78.33,FYBSC,BACHELOR OF SCIENCE
1,5,15,How much of the syllabus was covered in the class?,0,0,2,3,0,3.60 / 72.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
2,5,15,How well did the teachers prepare for the classes?,0,0,0,5,0,4.00 / 80.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
3,5,15,How well were the teachers able to communicate?,0,0,1,4,0,3.80 / 76.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
4,5,15,The teacher’s approach to teaching can best be described as,0,0,2,3,0,3.60 / 72.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
5,5,15,Fairness of the internal evaluation process by the teachers.,0,0,0,3,2,4.40 / 88.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
6,5,15,Was your performance in assignments discussed with you?,0,0,2,0,3,4.20 / 84.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
7,5,15,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,3,1,1,3.60 / 72.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
8,5,15,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,3,1,1,3.60 / 72.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
9,5,15,The institution provides multiple opportunities to learn and grow.,0,0,4,1,0,3.20 / 64.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
10,5,15,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,3,2,4.40 / 88.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
11,5,15,Your mentor does a necessary follow-up with an assigned task to you.,0,0,2,1,2,4.00 / 80.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
12,5,15,The teachers illustrate the concepts through examples and applications.,0,0,1,2,2,4.20 / 84.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
13,5,15,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,4,0,3.60 / 72.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
14,5,15,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,1,3,0,3.40 / 68.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
15,5,15,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,3,2,0,3.40 / 68.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
16,5,15,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,4,0,3.80 / 76.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
17,5,15,Teachers encourage you to participate in extracurricular activities.,0,0,0,5,0,4.00 / 80.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
18,5,15,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,3,2,0,3.40 / 68.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
19,5,15,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,1,3,1,0,3.00 / 60.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
20,5,15,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,2,0,3.40 / 68.00,MA PSYCHOLOGY - 1,MA PSYCHOLOGY
1,7,20,How much of the syllabus was covered in the class?,0,3,1,2,1,3.14 / 62.86,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
2,7,20,How well did the teachers prepare for the classes?,0,2,2,2,1,3.29 / 65.71,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
3,7,20,How well were the teachers able to communicate?,0,1,3,1,2,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
4,7,20,The teacher’s approach to teaching can best be described as,0,2,3,1,1,3.14 / 62.86,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
5,7,20,Fairness of the internal evaluation process by the teachers.,0,0,0,4,3,4.43 / 88.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
6,7,20,Was your performance in assignments discussed with you?,1,0,4,0,2,3.29 / 65.71,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
7,7,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,2,1,3,3.86 / 77.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
8,7,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,2,0,3,3.43 / 68.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
9,7,20,The institution provides multiple opportunities to learn and grow.,0,0,4,1,2,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
10,7,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,2,3,1,3.43 / 68.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
11,7,20,Your mentor does a necessary follow-up with an assigned task to you.,0,1,2,1,3,3.86 / 77.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
12,7,20,The teachers illustrate the concepts through examples and applications.,0,0,2,2,3,4.14 / 82.86,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
13,7,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,2,0,2,2.86 / 57.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
14,7,20,Teachers are able to identify your weaknesses and help you to overcome them.,1,4,1,0,1,2.43 / 48.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
15,7,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,3,3,1,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
16,7,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,1,2,2,2,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
17,7,20,Teachers encourage you to participate in extracurricular activities.,0,0,4,2,1,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
18,7,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,2,3,1,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
19,7,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3,0,2,1,1,2.57 / 51.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
20,7,20,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,3,1,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY
